,yawRate,drivingMode,topic,msgsize,time,gearLocation,metadataID,throttlePercentage,steeringPercentage,brakePercentage,groupMetadataID,errorCode,steeringRate,speedMps,engineStarted,_id,fuelRangeM,msg_type,engageAdvice.advice,signal.turnSignal,header.moduleName,header.sequenceNum,header.timestampSec,wheelSpeed.isWheelSpdRrValid,wheelSpeed.wheelSpdRr,wheelSpeed.isWheelSpdRlValid,wheelSpeed.wheelSpdFr,wheelSpeed.isWheelSpdFrValid,wheelSpeed.wheelSpdRl,wheelSpeed.wheelSpdFl,wheelSpeed.isWheelSpdFlValid
0,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166995245912038,GEAR_DRIVE,e5497316-c841-11ee-a7fc-dd032dba19e8,0,3.1126893,13.2,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0.23437512,True,fd1d6298-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_RIGHT,canbus,79823,1686166995.2457776,True,0.733038604259491,True,0.733038604259491,True,0.733038604259491,0.6806787252426147,True
1,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166901524057386,GEAR_DRIVE,aa92c82f-c840-11ee-a7fc-dd032dba19e8,8.8,0.27791867,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,22.358952,True,c8f7144b-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,75137,1686166901.523926,True,61.99412155151367,True,61.83704376220703,True,62.04648208618164,61.9417610168457,True
2,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686167007084768310,GEAR_REVERSE,055149ba-c842-11ee-a7fc-dd032dba19e8,0,2.6494913,22.4,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0,True,2217cd79-c842-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_RIGHT,canbus,80415,1686167007.084699,True,0,True,0,True,0,0,True
0,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166929247454347,GEAR_DRIVE,08bc24f9-c841-11ee-a7fc-dd032dba19e8,3.2,0.07411164,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,24.717896,True,2450572e-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,76523,1686166929.2458947,True,68.53910827636719,True,68.43438720703125,True,68.48674774169922,68.48674774169922,True
0,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166971485967867,GEAR_DRIVE,a6500c1c-c841-11ee-a7fc-dd032dba19e8,0,1.9824866,18.8,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,6.9053855,True,ae2db7a0-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,78635,1686166971.4856005,True,19.320802688598633,True,19.216083526611328,True,19.216083526611328,19.111364364624023,True
1,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686167024805996284,GEAR_PARKING,43773e83-c842-11ee-a7fc-dd032dba19e8,0,2.5197961,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0,True,5f7e3a79-c842-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,81301,1686167024.8057802,True,0,True,0,True,0,0,True
2,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166917104468371,GEAR_DRIVE,e9c16a27-c840-11ee-a7fc-dd032dba19e8,0,0.31497452,1.6,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,25.045586,True,fc3a0a93-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,75916,1686166917.1044164,True,69.37686920166016,True,69.32450866699219,True,69.4815902709961,69.42922973632812,True
0,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166925745621450,GEAR_DRIVE,08bc24f9-c841-11ee-a7fc-dd032dba19e8,3.6,0.25939077,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,24.63977,True,1743aace-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,76348,1686166925.7455394,True,68.32966613769531,True,68.27731323242188,True,68.27731323242188,68.27731323242188,True
1,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166961485604496,GEAR_DRIVE,87d6fd40-c841-11ee-a7fc-dd032dba19e8,0,0.4631978,13.2,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,17.04645,True,8c6e2bd8-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,78135,1686166961.4855351,True,47.333351135253906,True,47.22863006591797,True,47.28099060058594,47.12390899658203,True
2,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166964745731587,GEAR_DRIVE,87d6fd40-c841-11ee-a7fc-dd032dba19e8,0,0.12969539,15.6,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,15.546883,True,95ff8097-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,78298,1686166964.7455697,True,43.3016357421875,True,43.03983688354492,True,43.19691848754883,43.03983688354492,True
3,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166895963949672,GEAR_DRIVE,aa92c82f-c840-11ee-a7fc-dd032dba19e8,2.8,0.03705582,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,21.827269,True,b67cd103-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,74859,1686166895.963851,True,60.580406188964844,True,60.42332458496094,True,60.63276290893555,60.475685119628906,True
0,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166957104198197,GEAR_DRIVE,67850295-c841-11ee-a7fc-dd032dba19e8,0,-1.8898468,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,18.218325,True,7cfbe467-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,77916,1686166957.1040635,True,50.37022399902344,True,50.31786346435547,True,50.684383392333984,50.632022857666016,True
1,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166942004941614,GEAR_DRIVE,491ecfe5-c841-11ee-a7fc-dd032dba19e8,0,1.0005072,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,23.24871,True,4e6c0b36-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,77161,1686166942.0048573,True,64.50740051269531,True,64.45503997802734,True,64.50740051269531,64.40267944335938,True
0,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166910105772670,GEAR_DRIVE,ca303b6c-c840-11ee-a7fc-dd032dba19e8,3.2,-0.68553275,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,22.17015,True,e4a7602f-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,75566,1686166910.1056988,True,61.522884368896484,True,61.41816329956055,True,61.41816329956055,61.36580276489258,True
1,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166999665684414,GEAR_REVERSE,055149ba-c842-11ee-a7fc-dd032dba19e8,0,2.6494913,22.8,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0,True,0cf2e3b3-c842-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_RIGHT,canbus,80044,1686166999.665558,True,0,True,0,True,0,0,True
2,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166892787780861,GEAR_DRIVE,aa92c82f-c840-11ee-a7fc-dd032dba19e8,48,0.37055823,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,20.123709,True,ac8d93cf-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,74700,1686166892.785621,True,55.39677429199219,True,55.7632942199707,True,55.34441375732422,55.658573150634766,True
0,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166924648457599,GEAR_DRIVE,08bc24f9-c841-11ee-a7fc-dd032dba19e8,3.2,0.24086285,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,24.63977,True,14afb275-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,76293,1686166924.6456616,True,68.32966613769531,True,68.32966613769531,True,68.27731323242188,68.27731323242188,True
1,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686167020764959363,GEAR_PARKING,43773e83-c842-11ee-a7fc-dd032dba19e8,0,2.5197961,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0,True,52807cce-c842-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,81099,1686167020.7646387,True,0,True,0,True,0,0,True
