,time,longitudeStdDev,numSatsMulti,groupMetadataID,numSatsTracked,latitudeStdDev,differentialAge,longitude,solType,solutionAge,solStatus,latitude,numSatsInSolution
0,1686166920034692639,0.014005946,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012601131,1,-82.0966219533778,NARROW_INT,0,SOL_COMPUTED,39.35597845181014,13
1,1686166886041417660,0.2670093,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,4,0.17332916,1.3,-82.08905664302222,NARROW_INT,1.7,INSUFFICIENT_OBS,39.35203686041206,0
2,1686166899034259470,0.012558337,10,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,10,0.012127617,1,-82.09191142388035,NARROW_INT,0,SOL_COMPUTED,39.35352605696876,10
3,1686166970037870272,0.014789095,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.013310387,1,-82.10551989414738,NARROW_INT,0,SOL_COMPUTED,39.3620524164248,14
0,1686167009035119869,0.0120327035,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011436125,1,-82.10562731418227,NARROW_INT,0,SOL_COMPUTED,39.36259993457589,17
1,1686166999166787589,0.014061382,16,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,18,0.013301697,2,-82.10562736779451,NARROW_INT,0,SOL_COMPUTED,39.36259995966021,17
0,1686167027037407561,0.012170514,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011714766,1,-82.10562731561595,NARROW_INT,0,SOL_COMPUTED,39.362599939781006,17
1,1686166873065839601,0.014661482,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,16,0.013116088,1,-82.08692894892305,NARROW_INT,0,SOL_COMPUTED,39.35093022770587,15
2,1686166913034311926,0.015921254,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.012650049,1,-82.09495307701887,NARROW_INT,0,SOL_COMPUTED,39.355107566232284,12
3,1686167007038969642,0.012105367,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011495516,1,-82.10562733837489,NARROW_INT,0,SOL_COMPUTED,39.36259991531555,17
0,1686166918035691011,0.014054333,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012563339,1,-82.09614139055357,NARROW_INT,0,SOL_COMPUTED,39.35572784136626,13
0,1686166926038225201,0.014287814,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.013813234,1,-82.09805020055556,NARROW_INT,0,SOL_COMPUTED,39.356721998923994,11
1,1686166893039305994,0.015227722,9,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,11,0.013681996,1,-82.09064784011845,NARROW_INT,0,SOL_COMPUTED,39.35286900934235,11
0,1686166936037857134,0.01312368,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.012461088,1,-82.10038983456542,NARROW_INT,0,SOL_COMPUTED,39.35794006384263,12
1,1686166944037550996,0.013033027,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.011719193,1,-82.10215692522388,NARROW_INT,0,SOL_COMPUTED,39.35890516254277,13
0,1686167024037960704,0.01190569,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.0114071835,1,-82.10562731868406,NARROW_INT,0,SOL_COMPUTED,39.36259994725776,17
0,1686166953034178449,0.012599569,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.011711245,1,-82.10390369867855,NARROW_INT,0,SOL_COMPUTED,39.35993934783057,13
1,1686167008038345856,0.0120500885,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011424636,1,-82.10562731347983,NARROW_INT,0,SOL_COMPUTED,39.362599941841665,17
0,1686166941034481300,0.0132571515,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012498071,1,-82.10149769826765,NARROW_INT,0,SOL_COMPUTED,39.35854152448165,13
1,1686166972043529813,0.014757799,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,16,0.013288862,1,-82.10564254487329,NARROW_INT,0,SOL_COMPUTED,39.36215001310656,15
2,1686166883034676658,0.014187024,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.013611255,1,-82.08877844981093,NARROW_INT,0,SOL_COMPUTED,39.351892498432754,12
0,1686166954037806608,0.012495219,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.011498848,1,-82.10406060646969,NARROW_INT,0,SOL_COMPUTED,39.36006131835721,13
1,1686166907037235047,0.016325844,9,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,10,0.015174742,1,-82.09364433053169,NARROW_INT,0,SOL_COMPUTED,39.354427476712864,9
0,1686166977043554427,0.013391647,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,18,0.012120491,1,-82.10574594535643,NARROW_INT,0,SOL_COMPUTED,39.36222658567139,16
1,1686166909036184298,0.016365953,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.0148524465,1,-82.09407771743035,NARROW_INT,0,SOL_COMPUTED,39.35465146732673,12
2,1686166868042745516,0.014585697,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.013399909,1,-82.08592840559069,NARROW_INT,0,SOL_COMPUTED,39.35034881537068,13
3,1686166998140009901,0.014559225,16,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,18,0.013379907,2,-82.10562732145637,NARROW_INT,0,SOL_COMPUTED,39.362599958903346,17
4,1686166900037606589,0.013107202,10,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.012593144,1,-82.09212363267956,NARROW_INT,0,SOL_COMPUTED,39.35363756363293,10
5,1686166922041957664,0.014179893,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.012644497,1,-82.09710038027579,NARROW_INT,0,SOL_COMPUTED,39.35622625121949,12
6,1686166869036473378,0.014520094,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.012902681,1,-82.08613898842044,NARROW_INT,0,SOL_COMPUTED,39.35047973549774,13
0,1686166916038955071,0.016096447,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012917788,1,-82.09565991430246,NARROW_INT,0,SOL_COMPUTED,39.35547522348043,13
1,1686166969036984185,0.0152481655,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.013715431,1,-82.10544470608843,NARROW_INT,0,SOL_COMPUTED,39.361984261371354,14
2,1686166870037381221,0.014505343,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.012888557,1,-82.0863371649216,NARROW_INT,0,SOL_COMPUTED,39.35059947400499,13
0,1686166931040700511,0.014907507,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012994432,1,-82.09924218761891,NARROW_INT,0,SOL_COMPUTED,39.35734349619809,13
1,1686167018036476107,0.012781171,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011695004,1,-82.10562734031372,NARROW_INT,0,SOL_COMPUTED,39.36259991625077,17
